Model,Accuracy,Precision,Recall,F1-Score
random_forest,0.8113207547169812,0.8026729559748429,0.8113207547169812,0.8015857251531487
xgboost,0.8113207547169812,0.8026729559748429,0.8113207547169812,0.8015857251531487
svm,0.8113207547169812,0.7844702467343977,0.8113207547169812,0.793351302785265
logistic_regression,0.7924528301886793,0.7827672955974844,0.7924528301886793,0.781942428640542
knn,0.7924528301886793,0.7477019835510402,0.7924528301886793,0.7667486152661356
naive_bayes,0.16981132075471697,0.39326145552560643,0.16981132075471697,0.1816344646533326
